Time,Температура (°C),Влажность (%),Авария,Счетчик аварий
22.07.2026 22:02:35.547,25.993958,54.052734,0.000000,0.000000
22.07.2026 22:02:35.659,25.983887,54.052734,0.000000,0.000000
22.07.2026 22:02:35.771,25.973816,54.052734,0.000000,0.000000
22.07.2026 22:02:35.883,25.983887,54.052734,0.000000,0.000000
22.07.2026 22:02:35.995,25.933533,54.052734,0.000000,0.000000
22.07.2026 22:02:36.107,25.943604,54.150391,0.000000,0.000000
22.07.2026 22:02:36.218,25.933533,54.150391,0.000000,0.000000
22.07.2026 22:02:36.330,25.913391,54.150391,0.000000,0.000000
22.07.2026 22:02:36.442,25.933533,54.150391,0.000000,0.000000
22.07.2026 22:02:36.554,25.973816,54.150391,0.000000,0.000000
22.07.2026 22:02:36.666,25.973816,54.150391,0.000000,0.000000
22.07.2026 22:02:36.778,25.913391,54.150391,0.000000,0.000000
22.07.2026 22:02:36.890,25.913391,54.150391,0.000000,0.000000
22.07.2026 22:02:37.001,25.973816,54.248047,0.000000,0.000000
22.07.2026 22:02:37.112,25.933533,54.248047,0.000000,0.000000
22.07.2026 22:02:37.224,25.983887,54.248047,0.000000,0.000000
22.07.2026 22:02:37.336,25.993958,54.248047,0.000000,0.000000
22.07.2026 22:02:37.447,25.973816,54.248047,0.000000,0.000000
22.07.2026 22:02:37.558,25.973816,54.351807,0.000000,0.000000
22.07.2026 22:02:37.671,25.983887,54.351807,0.000000,0.000000
22.07.2026 22:02:37.780,25.993958,54.351807,0.000000,0.000000
22.07.2026 22:02:37.888,25.943604,54.351807,0.000000,0.000000
22.07.2026 22:02:37.999,25.973816,54.449463,0.000000,0.000000
22.07.2026 22:02:38.107,25.993958,54.449463,0.000000,0.000000
22.07.2026 22:02:38.217,25.913391,54.449463,0.000000,0.000000
22.07.2026 22:02:38.325,25.933533,54.449463,0.000000,0.000000
22.07.2026 22:02:38.436,25.933533,54.449463,0.000000,0.000000
22.07.2026 22:02:38.550,25.983887,54.449463,0.000000,0.000000
22.07.2026 22:02:38.665,25.933533,54.449463,0.000000,0.000000
22.07.2026 22:02:38.776,25.913391,54.547119,0.000000,0.000000
22.07.2026 22:02:38.886,25.933533,54.547119,0.000000,0.000000
22.07.2026 22:02:38.999,25.973816,54.547119,0.000000,0.000000
22.07.2026 22:02:39.110,25.933533,54.547119,0.000000,0.000000
22.07.2026 22:02:39.226,26.014099,54.547119,0.000000,0.000000
22.07.2026 22:02:39.338,25.903320,54.547119,0.000000,0.000000
22.07.2026 22:02:39.445,25.943604,54.547119,0.000000,0.000000
22.07.2026 22:02:39.557,25.943604,54.547119,0.000000,0.000000
22.07.2026 22:02:39.669,25.973816,54.547119,0.000000,0.000000
22.07.2026 22:02:39.786,25.913391,54.547119,0.000000,0.000000
22.07.2026 22:02:39.893,25.913391,54.547119,0.000000,0.000000
22.07.2026 22:02:40.009,25.913391,54.547119,0.000000,0.000000
22.07.2026 22:02:40.116,25.913391,54.547119,0.000000,0.000000
22.07.2026 22:02:40.228,25.893250,54.547119,0.000000,0.000000
22.07.2026 22:02:40.339,25.913391,54.547119,0.000000,0.000000
22.07.2026 22:02:40.455,25.903320,54.547119,0.000000,0.000000
22.07.2026 22:02:40.563,25.893250,54.547119,0.000000,0.000000
22.07.2026 22:02:40.678,25.933533,54.547119,0.000000,0.000000
22.07.2026 22:02:40.786,25.893250,54.547119,0.000000,0.000000
22.07.2026 22:02:40.897,25.893250,54.547119,0.000000,0.000000
22.07.2026 22:02:41.009,25.903320,54.547119,0.000000,0.000000
22.07.2026 22:02:41.120,25.913391,54.547119,0.000000,0.000000
22.07.2026 22:02:41.236,25.873108,54.547119,0.000000,0.000000
22.07.2026 22:02:41.344,25.873108,54.547119,0.000000,0.000000
22.07.2026 22:02:41.456,25.903320,54.547119,0.000000,0.000000
22.07.2026 22:02:41.567,25.913391,54.547119,0.000000,0.000000
22.07.2026 22:02:41.678,25.893250,54.547119,0.000000,0.000000
22.07.2026 22:02:41.790,25.903320,54.547119,0.000000,0.000000
22.07.2026 22:02:41.902,25.913391,54.547119,0.000000,0.000000
22.07.2026 22:02:42.014,25.873108,54.547119,0.000000,0.000000
22.07.2026 22:02:42.125,25.893250,54.547119,0.000000,0.000000
22.07.2026 22:02:42.237,25.893250,54.547119,0.000000,0.000000
22.07.2026 22:02:42.349,25.903320,54.547119,0.000000,0.000000
22.07.2026 22:02:42.460,25.863037,54.547119,0.000000,0.000000
22.07.2026 22:02:42.572,25.842896,54.571533,0.000000,0.000000
22.07.2026 22:02:42.683,25.893250,54.547119,0.000000,0.000000
22.07.2026 22:02:42.795,25.863037,54.547119,0.000000,0.000000
22.07.2026 22:02:42.907,25.873108,54.547119,0.000000,0.000000
22.07.2026 22:02:43.018,25.893250,54.547119,0.000000,0.000000
22.07.2026 22:02:43.133,25.873108,54.547119,0.000000,0.000000
22.07.2026 22:02:43.242,25.893250,54.547119,0.000000,0.000000
22.07.2026 22:02:43.354,25.873108,54.547119,0.000000,0.000000
22.07.2026 22:02:43.466,25.863037,54.547119,0.000000,0.000000
22.07.2026 22:02:43.578,25.842896,54.675293,0.000000,0.000000
22.07.2026 22:02:43.689,25.873108,54.644775,0.000000,0.000000
22.07.2026 22:02:43.801,25.863037,54.644775,0.000000,0.000000
22.07.2026 22:02:43.913,25.873108,54.547119,0.000000,0.000000
22.07.2026 22:02:44.024,25.842896,54.675293,0.000000,0.000000
22.07.2026 22:02:44.136,25.873108,54.644775,0.000000,0.000000
22.07.2026 22:02:44.248,25.873108,54.644775,0.000000,0.000000
22.07.2026 22:02:44.360,25.893250,54.644775,0.000000,0.000000
22.07.2026 22:02:44.472,25.832825,54.675293,0.000000,0.000000
22.07.2026 22:02:44.584,25.893250,54.644775,0.000000,0.000000
22.07.2026 22:02:44.696,25.873108,54.644775,0.000000,0.000000
22.07.2026 22:02:44.808,25.863037,54.644775,0.000000,0.000000
22.07.2026 22:02:44.920,25.873108,54.644775,0.000000,0.000000
22.07.2026 22:02:45.032,25.842896,54.675293,0.000000,0.000000
22.07.2026 22:02:45.144,25.842896,54.675293,0.000000,0.000000
22.07.2026 22:02:45.256,25.842896,54.675293,0.000000,0.000000
22.07.2026 22:02:45.368,25.873108,54.644775,0.000000,0.000000
22.07.2026 22:02:45.480,25.832825,54.675293,0.000000,0.000000
22.07.2026 22:02:45.591,25.842896,54.675293,0.000000,0.000000
22.07.2026 22:02:45.703,25.873108,54.644775,0.000000,0.000000
22.07.2026 22:02:45.815,25.842896,54.675293,0.000000,0.000000
22.07.2026 22:02:45.929,25.863037,54.644775,0.000000,0.000000
22.07.2026 22:02:46.038,25.832825,54.675293,0.000000,0.000000
22.07.2026 22:02:46.140,25.822754,54.675293,0.000000,0.000000
22.07.2026 22:02:46.252,25.863037,54.644775,0.000000,0.000000
22.07.2026 22:02:46.363,25.903320,54.644775,0.000000,0.000000
22.07.2026 22:02:46.475,25.822754,54.675293,0.000000,0.000000
22.07.2026 22:02:46.587,25.842896,54.675293,0.000000,0.000000
22.07.2026 22:02:46.699,25.842896,54.675293,0.000000,0.000000
22.07.2026 22:02:46.811,25.863037,54.644775,0.000000,0.000000
22.07.2026 22:02:46.923,25.863037,54.644775,0.000000,0.000000
22.07.2026 22:02:47.035,25.863037,54.644775,0.000000,0.000000
22.07.2026 22:02:47.147,25.822754,54.675293,0.000000,0.000000
22.07.2026 22:02:47.258,25.822754,54.675293,0.000000,0.000000
22.07.2026 22:02:47.370,25.802612,54.675293,0.000000,0.000000
22.07.2026 22:02:47.482,25.822754,54.675293,0.000000,0.000000
22.07.2026 22:02:47.593,25.832825,54.675293,0.000000,0.000000
22.07.2026 22:02:47.705,25.802612,54.675293,0.000000,0.000000
22.07.2026 22:02:47.818,25.832825,54.772949,0.000000,0.000000
22.07.2026 22:02:47.929,25.863037,54.748535,0.000000,0.000000
22.07.2026 22:02:48.041,25.802612,54.772949,0.000000,0.000000
22.07.2026 22:02:48.153,25.842896,54.772949,0.000000,0.000000
22.07.2026 22:02:48.265,25.842896,54.772949,0.000000,0.000000
22.07.2026 22:02:48.377,25.863037,54.748535,0.000000,0.000000
22.07.2026 22:02:48.489,25.842896,54.870605,0.000000,0.000000
22.07.2026 22:02:48.601,25.842896,54.870605,0.000000,0.000000
22.07.2026 22:02:48.713,25.873108,54.846191,0.000000,0.000000
22.07.2026 22:02:48.825,25.842896,54.870605,0.000000,0.000000
22.07.2026 22:02:48.937,25.832825,54.870605,0.000000,0.000000
22.07.2026 22:02:49.050,25.832825,54.968262,0.000000,0.000000
22.07.2026 22:02:49.161,25.822754,54.870605,0.000000,0.000000
22.07.2026 22:02:49.276,25.802612,54.968262,0.000000,0.000000
22.07.2026 22:02:49.386,25.832825,54.968262,0.000000,0.000000
22.07.2026 22:02:49.495,25.863037,54.943848,0.000000,0.000000
22.07.2026 22:02:49.609,25.822754,54.968262,0.000000,0.000000
22.07.2026 22:02:49.721,25.842896,54.968262,0.000000,0.000000
22.07.2026 22:02:49.832,25.822754,54.968262,0.000000,0.000000
22.07.2026 22:02:49.944,25.832825,54.968262,0.000000,0.000000
22.07.2026 22:02:50.056,25.822754,54.968262,0.000000,0.000000
22.07.2026 22:02:50.168,25.792542,54.968262,0.000000,0.000000
22.07.2026 22:02:50.280,25.863037,54.943848,0.000000,0.000000
22.07.2026 22:02:50.391,25.842896,54.968262,0.000000,0.000000
